Date,DPG
1999-03-01,1.02
1999-02-15,1.025
1999-02-01,1.031
1999-01-18,1.029
1999-01-04,1.021
1998-12-21,1.022
1998-12-07,1.023
1998-11-16,1.028
1998-11-02,1.029
1998-10-19,1.029
1998-10-05,1.021
1998-03-16,1.118
1998-03-02,1.129
1998-02-16,1.143
1998-02-02,1.15
1998-01-19,1.153
1998-01-05,1.155
1997-12-15,1.154
1997-12-01,1.155
1997-11-17,1.152
1997-11-03,1.145
1997-10-20,1.141
1997-10-06,1.133
1997-03-17,1.238
1997-03-03,1.268
1997-02-17,1.274
1997-02-03,1.291
1997-01-27,1.298
1997-01-20,1.297
1997-01-13,1.303
1997-01-06,1.296
1996-12-30,1.299
1996-12-23,1.306
1996-12-16,1.295
1996-12-09,1.302
1996-12-02,1.282
1996-11-25,1.282
1996-11-18,1.275
1996-11-11,1.272
1996-11-04,1.276
1996-10-28,1.289
1996-10-21,1.291
1996-10-07,1.255
1996-03-18,1.2
1996-03-04,1.203
1996-02-19,1.191
1996-02-05,1.165
1996-01-15,1.18
1996-01-01,1.155
1995-12-18,1.113
1995-12-04,1.086
1995-11-20,1.072
1995-11-06,1.068
1995-10-16,1.057
1995-10-02,1.051
1995-03-20,1.082
1995-03-06,1.086
1995-02-20,1.089
1995-02-06,1.086
1995-01-16,1.083
1995-01-02,1.079
1994-12-19,1.071
1994-12-05,1.068
1994-11-21,1.055
1994-11-07,1.054
1994-10-17,1.051
1994-10-03,1.049
1994-03-21,1.081
1994-03-07,1.09
1994-02-28,1.09
1994-02-21,1.094
1994-02-14,1.093
1994-02-07,1.088
1994-01-31,1.065
1994-01-17,1.053
1994-01-03,1.038
1993-12-20,1.039
1993-12-06,1.047
1993-11-15,1.047
1993-11-01,1.044
1993-10-18,1.038
1993-10-04,1.034
1993-03-15,1.077
1993-03-01,1.077
1993-02-15,1.074
1993-02-01,1.074
1993-01-18,1.073
1993-01-04,1.073
1992-12-21,1.071
1992-12-07,1.07
1992-11-16,1.071
1992-11-02,1.069
1992-10-19,1.058
1992-10-05,1.033
1992-03-16,1.076
1992-03-02,1.081
1992-02-17,1.086
1992-02-03,1.088
1992-01-20,1.088
1992-01-06,1.091
1991-12-16,1.11
1991-12-02,1.118
1991-11-18,1.122
1991-11-04,1.099
1991-10-21,1.081
1991-10-07,1.044
1991-03-18,1.186
1991-03-04,1.237
1991-02-18,1.265
1991-02-04,1.294
1991-01-21,1.339
1991-01-07,1.32
1990-12-17,1.366
1990-12-03,1.366
1990-11-19,1.385
1990-11-05,1.392
1990-10-15,1.4
1990-10-01,1.342
