Weekly New Jersey No. 2 Heating Oil Residential Price
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=W_EPD2F_PRS_SNJ_DPG&f=W
23:30:33 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Week of,Weekly New Jersey No. 2 Heating Oil Residential Price Dollars per Gallon
01/9/2017,2.769
01/2/2017,2.758
12/26/2016,2.708
12/19/2016,2.707
12/12/2016,2.674
12/5/2016,2.526
11/28/2016,2.482
11/21/2016,2.437
11/14/2016,2.435
11/7/2016,2.452
10/31/2016,2.473
10/24/2016,2.457
10/17/2016,2.452
10/10/2016,2.421
10/3/2016,2.358
03/28/2016,2.294
03/21/2016,2.273
03/14/2016,2.261
03/7/2016,2.226
02/29/2016,2.218
02/22/2016,2.216
02/15/2016,2.211
02/8/2016,2.169
02/1/2016,2.153
01/25/2016,2.176
01/18/2016,2.247
01/11/2016,2.311
01/4/2016,2.303
12/28/2015,2.338
12/21/2015,2.346
12/14/2015,2.401
12/7/2015,2.49
11/30/2015,2.507
11/23/2015,2.517
11/16/2015,2.5
11/9/2015,2.492
11/2/2015,2.479
10/26/2015,2.483
10/19/2015,2.519
10/12/2015,2.523
10/5/2015,2.506
03/30/2015,3.028
03/23/2015,3.09
03/16/2015,3.18
03/9/2015,3.38
03/2/2015,3.396
02/23/2015,3.321
02/16/2015,3.159
02/9/2015,3.041
02/2/2015,2.97
01/26/2015,2.967
01/19/2015,2.991
01/12/2015,3.063
01/5/2015,3.135
12/29/2014,3.2
12/22/2014,3.233
12/15/2014,3.298
12/8/2014,3.368
12/1/2014,3.475
11/24/2014,3.513
11/17/2014,3.531
11/10/2014,3.549
11/3/2014,3.566
10/27/2014,3.561
10/20/2014,3.607
10/13/2014,3.639
03/17/2014,4.255
03/10/2014,4.332
03/3/2014,4.367
02/24/2014,4.37
02/17/2014,4.351
02/10/2014,4.334
02/3/2014,4.365
01/27/2014,4.278
01/20/2014,4.138
01/13/2014,4.118
01/6/2014,4.134
12/30/2013,4.141
12/23/2013,4.089
12/16/2013,4.064
12/9/2013,4.06
12/2/2013,4.026
11/25/2013,3.966
11/18/2013,3.9
11/11/2013,3.887
11/4/2013,3.912
10/28/2013,3.876
10/21/2013,3.918
10/14/2013,3.88
10/7/2013,3.858
03/18/2013,4.163
03/11/2013,4.172
03/4/2013,4.199
02/25/2013,4.273
02/18/2013,4.286
02/11/2013,4.256
02/4/2013,4.212
01/28/2013,4.146
