Weekly Connecticut No. 2 Heating Oil Residential Price
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=W_EPD2F_PRS_SCT_DPG&f=W
08:47:09 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Week of,Weekly Connecticut No. 2 Heating Oil Residential Price Dollars per Gallon
12/19/2011,3.912
12/12/2011,3.978
12/5/2011,3.994
11/28/2011,3.987
11/21/2011,4.025
11/14/2011,4.073
11/7/2011,3.989
10/31/2011,3.955
10/24/2011,3.912
10/17/2011,3.868
10/10/2011,3.738
10/3/2011,3.759
03/14/2011,3.989
03/7/2011,4.021
02/28/2011,3.86
02/21/2011,3.772
02/14/2011,3.708
02/7/2011,3.717
01/31/2011,3.67
01/24/2011,3.592
01/17/2011,3.572
01/10/2011,3.462
01/3/2011,3.438
12/27/2010,3.409
12/20/2010,3.356
12/13/2010,3.323
12/6/2010,3.287
11/29/2010,3.188
11/22/2010,3.174
11/15/2010,3.2
11/8/2010,3.165
11/1/2010,3.068
10/25/2010,3.049
10/18/2010,3.04
10/11/2010,3.043
10/4/2010,3.008
03/15/2010,3.024
03/8/2010,3.005
03/1/2010,2.965
02/22/2010,2.963
02/15/2010,2.88
02/8/2010,2.894
02/1/2010,2.896
01/25/2010,2.917
01/18/2010,3.015
01/11/2010,3.063
01/4/2010,2.958
12/28/2009,2.896
12/21/2009,2.813
12/14/2009,2.79
12/7/2009,2.826
11/30/2009,2.794
11/23/2009,2.793
11/16/2009,2.801
11/9/2009,2.788
11/2/2009,2.783
10/26/2009,2.793
10/19/2009,2.709
10/12/2009,2.578
10/5/2009,2.546
03/16/2009,2.253
03/9/2009,2.277
03/2/2009,2.335
02/23/2009,2.308
02/16/2009,2.389
02/9/2009,2.422
02/2/2009,2.467
01/26/2009,2.48
01/19/2009,2.496
01/12/2009,2.511
01/5/2009,2.452
12/29/2008,2.388
12/22/2008,2.449
12/15/2008,2.519
12/8/2008,2.553
12/1/2008,2.739
11/24/2008,2.747
11/17/2008,2.889
11/10/2008,2.992
11/3/2008,3.036
10/27/2008,3.05
10/20/2008,3.283
10/13/2008,3.421
10/6/2008,3.757
03/17/2008,3.961
03/10/2008,3.78
03/3/2008,3.651
02/25/2008,3.551
02/18/2008,3.479
02/11/2008,3.339
02/4/2008,3.375
01/28/2008,3.394
01/21/2008,3.402
01/14/2008,3.436
01/7/2008,3.501
12/31/2007,3.457
12/24/2007,3.396
12/17/2007,3.389
12/10/2007,3.318
12/3/2007,3.337
11/26/2007,3.353
11/19/2007,3.259
11/12/2007,3.264
11/5/2007,3.18
10/29/2007,2.994
10/22/2007,2.905
10/15/2007,2.832
10/8/2007,2.802
03/12/2007,2.558
03/5/2007,2.57
02/26/2007,2.551
02/19/2007,2.531
02/12/2007,2.54
02/5/2007,2.494
01/29/2007,2.456
01/22/2007,2.425
01/15/2007,2.435
01/8/2007,2.478
01/1/2007,2.498
12/25/2006,2.516
12/18/2006,2.524
12/11/2006,2.511
12/4/2006,2.527
11/27/2006,2.455
11/20/2006,2.46
11/13/2006,2.47
11/6/2006,2.449
10/30/2006,2.453
10/23/2006,2.456
10/16/2006,2.455
10/9/2006,2.45
10/2/2006,2.455
03/13/2006,2.441
03/6/2006,2.496
02/27/2006,2.457
02/20/2006,2.414
02/13/2006,2.425
02/6/2006,2.467
01/30/2006,2.483
01/23/2006,2.521
01/16/2006,2.472
01/9/2006,2.465
01/2/2006,2.45
12/26/2005,2.431
12/19/2005,2.415
12/12/2005,2.405
12/5/2005,2.411
11/28/2005,2.413
11/21/2005,2.418
11/14/2005,2.449
11/7/2005,2.498
10/31/2005,2.542
10/24/2005,2.579
10/17/2005,2.622
10/10/2005,2.614
10/3/2005,2.724
03/14/2005,2.173
03/7/2005,2.125
02/28/2005,2.07
02/21/2005,2.019
02/14/2005,2.001
02/7/2005,1.992
01/31/2005,2.026
01/24/2005,2.012
01/17/2005,1.99
01/10/2005,1.961
01/3/2005,1.95
12/27/2004,1.973
12/20/2004,2.002
12/13/2004,1.935
12/6/2004,1.966
11/29/2004,2.018
11/22/2004,2.018
11/15/2004,1.99
11/8/2004,2.02
11/1/2004,2.065
10/25/2004,2.085
10/18/2004,2.011
10/11/2004,1.909
10/4/2004,1.852
03/15/2004,1.641
03/8/2004,1.645
03/1/2004,1.647
02/23/2004,1.664
02/16/2004,1.663
02/9/2004,1.668
02/2/2004,1.677
01/26/2004,1.668
01/19/2004,1.607
01/12/2004,1.59
01/5/2004,1.522
12/29/2003,1.513
12/22/2003,1.514
12/15/2003,1.491
12/8/2003,1.426
12/1/2003,1.418
11/24/2003,1.421
11/17/2003,1.407
11/10/2003,1.392
11/3/2003,1.395
10/27/2003,1.398
10/20/2003,1.402
10/13/2003,1.398
10/6/2003,1.354
03/17/2003,1.862
03/10/2003,1.923
03/3/2003,1.918
02/24/2003,1.801
02/17/2003,1.775
02/10/2003,1.773
02/3/2003,1.564
01/27/2003,1.53
01/20/2003,1.458
01/13/2003,1.442
01/6/2003,1.445
12/30/2002,1.418
12/23/2002,1.363
12/16/2002,1.32
12/9/2002,1.294
12/2/2002,1.271
11/25/2002,1.262
11/18/2002,1.26
11/11/2002,1.259
11/4/2002,1.261
10/28/2002,1.257
10/21/2002,1.255
10/14/2002,1.252
10/7/2002,1.241
03/18/2002,1.215
03/11/2002,1.2
03/4/2002,1.202
02/25/2002,1.202
02/18/2002,1.202
02/11/2002,1.202
02/4/2002,1.203
01/28/2002,1.203
01/21/2002,1.204
01/14/2002,1.204
01/7/2002,1.207
12/31/2001,1.204
12/24/2001,1.202
12/17/2001,1.203
12/10/2001,1.202
12/3/2001,1.201
11/26/2001,1.206
11/19/2001,1.229
11/12/2001,1.251
11/5/2001,1.261
10/29/2001,1.268
10/22/2001,1.271
10/15/2001,1.277
10/8/2001,1.279
10/1/2001,1.288
03/19/2001,1.423
03/12/2001,1.463
03/5/2001,1.469
02/26/2001,1.496
02/19/2001,1.505
02/12/2001,1.517
02/5/2001,1.524
01/29/2001,1.555
01/22/2001,1.554
01/15/2001,1.566
01/8/2001,1.58
01/1/2001,1.587
12/25/2000,1.577
12/18/2000,1.582
12/11/2000,1.593
12/4/2000,1.586
11/27/2000,1.6
11/20/2000,1.559
11/13/2000,1.51
11/6/2000,1.499
10/30/2000,1.522
10/23/2000,1.511
10/16/2000,1.54
10/9/2000,1.473
10/2/2000,1.465
03/20/2000,1.37
03/13/2000,1.398
03/6/2000,1.405
02/28/2000,1.398
02/21/2000,1.427
02/14/2000,1.679
02/7/2000,1.949
01/31/2000,1.816
01/24/2000,1.692
01/17/2000,1.179
01/3/2000,1.11
12/20/1999,1.093
12/6/1999,1.081
11/15/1999,1.008
11/1/1999,0.979
10/18/1999,0.988
10/4/1999,0.955
03/15/1999,0.855
03/1/1999,0.85
02/15/1999,0.85
02/1/1999,0.853
01/18/1999,0.856
01/4/1999,0.856
12/21/1998,0.855
12/7/1998,0.856
11/16/1998,0.865
11/2/1998,0.864
10/19/1998,0.865
10/5/1998,0.866
03/16/1998,0.967
03/2/1998,0.982
02/16/1998,0.989
02/2/1998,0.997
01/19/1998,0.998
01/5/1998,1.002
12/15/1997,0.999
12/1/1997,0.992
11/17/1997,0.984
11/3/1997,0.966
10/20/1997,0.965
10/6/1997,0.952
03/17/1997,1.109
03/3/1997,1.129
02/17/1997,1.162
02/3/1997,1.182
01/27/1997,1.182
01/20/1997,1.183
01/13/1997,1.183
01/6/1997,1.169
12/30/1996,1.169
12/23/1996,1.169
