datetime,temp,windspeed
2019-04-01,8.371428571428572,24.457142857142856
2019-04-08,10.157142857142857,24.3
2019-04-15,12.685714285714285,26.7
2019-04-22,12.085714285714285,24.900000000000002
2019-04-29,11.385714285714286,17.87142857142857
2019-05-06,12.4,23.214285714285715
2019-05-13,15.271428571428572,24.285714285714285
2019-05-20,18.7,26.37142857142857
2019-05-27,17.485714285714288,21.214285714285715
2019-06-03,18.97142857142857,23.67142857142857
2019-06-10,19.342857142857145,26.842857142857145
2019-06-17,21.0,19.385714285714283
2019-06-24,24.285714285714285,21.12857142857143
2019-07-01,24.685714285714287,17.185714285714287
2019-07-08,25.457142857142856,21.5
2019-07-15,26.842857142857145,20.599999999999998
2019-07-22,23.957142857142856,19.357142857142858
2019-07-29,25.057142857142857,16.342857142857145
2019-08-05,23.02857142857143,21.12857142857143
2019-08-12,23.642857142857142,18.228571428571428
2019-08-19,22.485714285714288,21.771428571428572
2019-08-26,20.928571428571427,20.271428571428572
2019-09-02,19.857142857142858,21.0
2019-09-09,20.62857142857143,20.87142857142857
2019-09-16,18.257142857142856,18.97142857142857
2019-09-23,19.414285714285715,23.957142857142856
2019-09-30,17.414285714285715,26.485714285714284
2019-10-07,14.428571428571429,25.2
2019-10-14,12.071428571428571,27.3
2019-10-21,13.828571428571427,22.957142857142856
2019-10-28,11.728571428571428,25.37142857142857
2019-11-04,6.714285714285714,22.2
2019-11-11,3.085714285714286,25.02857142857143
2019-11-18,6.328571428571428,24.25714285714286
2019-11-25,4.628571428571428,29.857142857142858
2019-12-02,2.9857142857142853,26.885714285714283
2019-12-09,5.128571428571428,25.17142857142857
2019-12-16,-0.5285714285714285,25.17142857142857
2019-12-23,4.4714285714285715,20.099999999999998
2019-12-30,4.757142857142857,26.142857142857142
2020-01-06,5.557142857142857,29.142857142857142
2020-01-13,1.3571428571428572,29.285714285714285
2020-01-20,1.6857142857142857,20.599999999999998
2020-01-27,2.5142857142857147,17.685714285714287
2020-02-03,4.414285714285714,26.771428571428572
2020-02-10,2.1285714285714286,23.285714285714285
