Weekly New York No. 2 Heating Oil Residential Price
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=W_EPD2F_PRS_SNY_DPG&f=W
09:24:36 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Week of,Weekly New York No. 2 Heating Oil Residential Price Dollars per Gallon
10/26/2015,2.713
10/19/2015,2.704
10/12/2015,2.718
10/5/2015,2.707
03/30/2015,3.131
03/23/2015,3.152
03/16/2015,3.273
03/9/2015,3.43
03/2/2015,3.507
02/23/2015,3.423
02/16/2015,3.296
02/9/2015,3.123
02/2/2015,3.014
01/26/2015,3.036
01/19/2015,3.054
01/12/2015,3.134
01/5/2015,3.203
12/29/2014,3.298
12/22/2014,3.323
12/15/2014,3.373
12/8/2014,3.453
12/1/2014,3.573
11/24/2014,3.62
11/17/2014,3.647
11/10/2014,3.674
11/3/2014,3.69
10/27/2014,3.701
10/20/2014,3.714
10/13/2014,3.736
03/17/2014,4.338
03/10/2014,4.417
03/3/2014,4.469
02/24/2014,4.491
02/17/2014,4.46
02/10/2014,4.525
02/3/2014,4.482
01/27/2014,4.438
01/20/2014,4.27
01/13/2014,4.192
01/6/2014,4.197
12/30/2013,4.228
12/23/2013,4.181
12/16/2013,4.165
12/9/2013,4.171
12/2/2013,4.141
11/25/2013,4.113
11/18/2013,4.06
11/11/2013,4.05
11/4/2013,4.077
10/28/2013,4.089
10/21/2013,4.119
10/14/2013,4.121
10/7/2013,4.103
03/18/2013,4.289
03/11/2013,4.314
03/4/2013,4.312
02/25/2013,4.38
02/18/2013,4.402
02/11/2013,4.392
02/4/2013,4.342
01/28/2013,4.302
01/21/2013,4.274
01/14/2013,4.25
01/7/2013,4.259
12/31/2012,4.232
12/24/2012,4.237
12/17/2012,4.231
12/10/2012,4.28
12/3/2012,4.326
11/26/2012,4.338
11/19/2012,4.308
11/12/2012,4.299
11/5/2012,4.276
10/29/2012,4.266
10/22/2012,4.281
10/15/2012,4.308
10/8/2012,4.264
10/1/2012,4.237
03/19/2012,4.276
03/12/2012,4.266
03/5/2012,4.255
02/27/2012,4.273
02/20/2012,4.238
02/13/2012,4.232
02/6/2012,4.18
01/30/2012,4.169
01/23/2012,4.153
01/16/2012,4.152
01/9/2012,4.144
01/2/2012,4.083
12/26/2011,4.067
12/19/2011,4.059
12/12/2011,4.076
12/5/2011,4.102
11/28/2011,4.096
11/21/2011,4.14
11/14/2011,4.133
11/7/2011,4.079
10/31/2011,4.063
10/24/2011,4.014
10/17/2011,4.015
10/10/2011,3.895
10/3/2011,3.876
03/14/2011,4.025
03/7/2011,4.021
02/28/2011,3.951
02/21/2011,3.791
02/14/2011,3.764
02/7/2011,3.748
01/31/2011,3.702
01/24/2011,3.667
01/17/2011,3.638
01/10/2011,3.562
01/3/2011,3.51
12/27/2010,3.489
